,Date, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,X-ray,X-ray
ID,Date,Onset [UT],φC [°],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT],R2,Onset Date,Onset [UT],ΦC [°],VDA s [AU],VDA t0 + 500 s [UT],R2,Onset Date,Onset [UT],φC [°],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT],R2,"flare max. Date
DI/dt","flare max. [UT]
DI/dt"
26, 2013 May. 22,13:47,-43, 1.70±0.04 , 2013 May 22, 13:18±00:04,0.969, 2013 May 23,02:55,168,  ,  ,  ,,,,,,,, 2013 May 22,13:17
27,2013 Aug. 20,,,,,,,2013 Aug. 20,01:41,-29,4.45±0.37,00:17±00:13 ,0.944,2013 Aug. 20,08:12,-120,9.12±1.29   ,2013 Aug. 20, 04:42±00:51    ,0.878,,
28,2013 Sep. 30,,-65,,,,,,,,,,,2013 Sep. 30,09:56,75,6.63±1.46    ,2013 Sep. 30,07:22±00:59    ,0.748,2013 Sep. 29,21:48
29, 2013 Oct. 05,,,,,,, 2013 Oct. 05,08:24,18, 2.48±0.36,07:54±00:13,0.857, 2013 Oct. 05,21:46,-65,,,,,,
30, 2013 Oct. 11,18:00,-108,MR,,,, 2013 Oct. 11,07:58,96,1.60±0.08,07:39±00:04 ,0.977, 2013 Oct. 11,08:29,9,2.18±0.14, 2013 Oct. 11, 08:01±00:08,0.958, 2013 Oct. 11,07:15
31, 2013 Oct. 25,13:49,-149,  5.15±0.18, 2013 Oct. 25,09:54±00:22,0.693,,,   , ,                 , , 2013 Oct. 25,09:41,-27,4.86±0.24, 2013 Oct. 25,07:51±00:10,0.981, 2013 Oct. 25,07:59
32,2013 Oct. 28,18:49,-116,  ,,,,2013 Oct. 28,20:05,121, ,               , ,2013 Oct. 28,17:01,36, 4.77±0.22,2013 Oct. 28,15:36±00:10,0.984,2013 Oct. 28,15:11
33,2013 Nov. 02,,, ,,,   ,2013 Nov. 02,05:02,-73,1.33±0.05,04:40±00:03,0.988,2013 Nov. 02,07:24,-145,2.63±0.31,2013 Nov. 02,06:56±00:13,0.9,,
34,2013 Nov. 07,,, ,,,  ,2013 Nov. 07,10:54,15,2.03±0.13,10:24±00:05,0.969,2013 Nov. 07,11:11,-55,1.90±0.42,2013 Nov. 07,10:52±00:18,0.748,,
35,2013 Dec. 26,,,,,,,2013 Dec. 26,06:04,-12,,,,2013 Dec. 26,07:59,-85,,,,,,
