,Date,SOHO 55–80 MeV p+,SOHO 55–80 MeV p+,SOHO 55–80 MeV p+,SOHO 55–80 MeV p+,SOHO 55–80 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+, X-ray, X-ray
ID  ,Date,Onset [UT],ΦC [°],TSA L [AU],TSA trel Date,TSA trel + 500 s [UT],Onset Date,Onset [UT],φC  [°] ,TSA L [AU], TSA trel Date, TSA trel + 500 s [UT],Onset Date,Onset [UT],ΦC  [°],TSA L [AU], TSA trel Date, TSA trel + 500 s [UT],flare max. Date,flare max. dI/dt [UT]
27,2013 Aug. 20,,,,,,2013 Aug. 20,01:41,-29,1.14,2013 Aug. 20,01:22±00:10,2013 Aug. 20,08:12,-120,1.27,2013 Aug. 20, 21:13±00:32,,
28,2013 Sep. 30,,-65,1.36,,,,,,,,,2013 Sep. 30,09:56,75,1.44,2013 Sep. 30,09:30±00:30,2013 Sep. 29, 21:48
29, 2013 Oct. 05,,,,,, 2013 Oct. 05,08:24,18,1.19, 2013 Oct. 05,  08:04±00:10, 2013 Oct. 05,21:46,-65,1.36, 2013 Oct. 05,21:22±00:35,,
30,2013 Oct. 11,18:00,-108,1.16,,,2013 Oct. 11,07:58,96,1.18,2013 Oct. 11,  07:38±00:10,2013 Oct. 11,08:29,9,1.39,2013 Oct. 11,08:04±00:10,2013 Oct. 11,07:15
31,2013 Oct. 25,13:49,-149,1.22,2013 Oct. 25, 13:30±02:36,,,,,,,2013 Oct. 25,09:41,-27,1.46,2013 Oct. 25,09:15±00:10,2013 Oct. 25,07:59
32, 2013 Oct. 28,18:49,-116,1.29, 2013 Oct. 28, 18:28±00:10, 2013 Oct. 28,20:05,121,1.13, 2013 Oct. 28,  19:46±00:35, 2013 Oct. 28,17:01,36,1.34, 2013 Oct. 28,16:37±00:10, 2013 Oct. 28,15:11
33, 2013 Nov. 02,,,1.21,,, 2013 Nov. 02,05:02,-73,1.11, 2013 Nov. 02,  04:44±00:10, 2013 Nov. 02,07:24,-145,1.25, 2013 Nov. 02,07:03±00:13,,
34, 2013 Nov. 07,,,1.18,,, 2013 Nov. 07,10:54,15,1.06, 2013 Nov. 07,  10:37±00:10, 2013 Nov. 07,11:11,-55,1.19, 2013 Nov. 07,10:51±00:10,,
35, 2013 Dec. 26,,,,,   , 2013 Dec. 26,06:04,-12,1.1, 2013 Dec. 26,  05:46±00:14, 2013 Dec. 26,07:59,-85,1.33, 2013 Dec. 26,07:36±00:12,,
36, 2013 Dec. 28,18:32,52,1.19, 2013 Dec. 28, 18:13±00:10, 2013 Dec. 29,06:18,-89,1.13, 2013 Dec. 29,  05:59±01:27, 2013 Dec. 29,01:31,-141,1.25, 2013 Dec. 29,01:10±00:10,,
37, 2014 Jan. 06,,22,1.16,,, 2014 Jan. 06,12:42,-133,1.17, 2014 Jan. 06,  12:23±01:27, 2014 Jan. 07,00:58,161,1.38, 2014 Jan. 07,00:33±04:30, 2014 Jan. 06,07:43
38, 2014 Jan. 07,19:25,-58,1.15, 2014 Jan. 07, 19:07±00:12, 2014 Jan. 08,00:41,151,1.14, 2014 Jan. 08,  00:22±01:31, 2014 Jan. 08,01:31,68,1.46, 2014 Jan. 08,01:05±00:43, 2014 Jan. 07,18:18
39, 2014 Feb. 25,03:05,-138,1.12, 2014 Feb. 25, 02:48±00:45, 2014 Feb. 25,01:35,59,1.14, 2014 Feb. 25,  01:16±00:10, 2014 Feb. 25,01:36,0,1.36, 2014 Feb. 25,01:12±00:10, 2014 Feb. 25,00:46
40, 2014 Mar. 04,,,,,, 2014 Mar. 04,19:24,-129,1.13, 2014 Mar. 04,  19:06±00:10, 2014 Mar. 05,10:35,163,1.38, 2014 Mar. 04,10:10±09:56, 2014 Mar. 04,18:22
41, 2014 Mar. 05,,,,,, 2014 Mar. 05,14:48,-42,1.16, 2014 Mar. 05,  14:29±00:13, 2014 Mar. 05,21:49,-89,1.29, 2014 Mar. 05,21:27±01:03,,
42, 2014 Sep. 01,20:41,169,1.17, 2014 Sep. 01, 20:23±00:19,,,6,,,, 2014 Sep. 01,11:49,-27,1.18, 2014 Sep. 01,11:29±00:10,,
43, 2014 Sep. 10,19:28,-71,1.2, 2014 Sep. 10, 19:09±00:28,,BG,,,,, 2014 Sep. 10,21:39,80,1.29, 2014 Sep. 10,21:17±00:53, 2014 Sep. 10,17:33
44, 2014 Sep. 25,00:05,127,1.14, 2014 Sep. 24, 23:48±01:09,,,,,,, 2014 Sep. 24,22:47,-81,1.23, 2014 Sep. 24,22:26±00:10,,
45, 2014 Dec. 13,,95,1.07,,,,,,,,,,,,,,,,
46, 2015 Jul. 01,15:32,,1.18, 2015 Jul. 01, 15:14±00:10,,,,,,,,,,,,,,
