,Date,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-
ID,Date,Onset [UT],∆φ [°],Imax [pfu MeV-1],Rise time [h],TSA L [AU],TSA trel + 500 s [UT],Data type,Onset Date ,Onset [UT],∆φ [°] ,Imax [pfu MeV-1],Rise time [h],TSA L [AU],TSA trel + 500 s [UT],Onset Date,Onset [UT],∆φ [°],Imax [pfu MeV-1],Rise time [h],TSA L [AU],TSA trel + Date,TSA trel + 500 s [UT]
22, 2013 Mar. 05, BG,-145,,,,              , , 2013 Mar. 05,03:43:00,84,20000,6.5±0.1,1.16,03:38±00:05, 2013 Mar. 05,05:07:00,-5,3800,37.3±0.1 ,1.44, 2013 Mar. 05,04:59±00:08
23, 2013 Apr. 11,07:51:00,-12,1600,4.8±0.1,1.16,07:46±00:05 ,LF, 2013 Apr. 11,17:27:00,-145,10,63.2±0.7,1.08,17:23±00:42, 2013 Apr. 11,07:26:00,130,12000,1.5±0.1 ,1.27, 2013 Apr. 11,07:20±00:05
24, 2013 Apr. 24,22:29:00,167,110,3.8±0.1,1.16,22:24±00:05 ,DE, 2013 Apr. 25,00:02:00,32,540,3.5±0.3,1.08,23:58±00:21,,,,,,,,
25, 2013 May. 15,10:02:00,-64,7300,12.7±0.1,1.19,09:57±00:05 ,LF,,BG,,,,,,,IC,78,IC ,         ,1.13,,
26, 2013 May. 22,13:45:00,15,18000,13.4±0.1,1.15,13:40±00:05 ,LF, 2013 May. 22,20:28:00,-122,1400,30.6±0.5,1.16,20:23±00:28, 2013 May. 22,21:54:00,157,170,3.1±0.6  ,1.18, 2013 May. 22,21:49±00:34
27,2013 Aug. 20,BG,178,  ,,,,,2013 Aug. 20,00:42:00,34,9700,33.6±0.2,1.14,00:37±00:09,2013 Aug. 20,00:27:00,-44,2000,34.4±0.1 ,1.27,2013 Aug. 20,00:21±00:08
28,2013 Sep. 30,       ,33,3100,,1.36,,LF,2013 Sep. 30,10:04:00,-114,43,28.5±0.7,1.16,09:59±00:44,2013 Sep. 30,01:31:00,172,89,23.0±0.1 ,1.44,2013 Sep. 30,01:23±00:08
29,2013 Oct. 05,,,,,,,,2013 Oct. 05,06:43:00,92,2600,6.9±0.4,1.19,06:38±00:25,2013 Oct. 05,10:37:00,19,IC,,1.36,2013 Oct. 05,10:30±00:25
30,2013 Oct. 11,BG,-44,18,,1.16,,LF,2013 Oct. 11,07:32:00,169,6200,1.4±0.1,1.18,07:27±00:05,2013 Oct. 11,07:48:00,96,1000, 5.1±0.1,1.39,2013 Oct. 11,07:41±00:05
31, 2013 Oct. 25,BG,-73,,,1.22,,, 2013 Oct. 25,09:26:00,139,13,14.3±0.1,1.09,09:22±00:08, 2013 Oct. 25,08:39:00,69,2200, 10.3±0.1,1.46, 2013 Oct. 25,08:31±00:05
32, 2013 Oct. 28,BG,-28,,,1.29,,, 2013 Oct. 28,17:23:00,-176,40,5.2±0.3,1.13,17:18±00:19, 2013 Oct. 28,16:19:00,114,290, 4.7±0.1,1.34, 2013 Oct. 28,16:12±00:05
33,2013 Nov. 02,07:05:00,133,210,9.9±0.4,1.21,07:00±00:23,DE,2013 Nov. 02,04:40:00,-15,2000,1.6±0.1,1.11,04:36±00:05,2013 Nov. 02,05:49:00,-84,72, 3.9±0.1,1.25,2013 Nov. 02,05:43±00:05
34,2013 Nov. 07,BG,-151,,,1.18,,,2013 Nov. 07,10:35:00,60,9300,0.4±0.1,1.06,10:31±00:05,2013 Nov. 07,10:37:00,-7,10000, 8.3±0.1,1.19,2013 Nov. 07,10:32±00:05
35, 2013 Dec. 26,05:07:00,-164,88,17.5±0.2,1.32,05:00±00:09,LF, 2013 Dec. 26,03:49:00,45,1500,9.8±0.1,1.1,03:45±00:05, 2013 Dec. 26,04:10:00,-13,1000, 9.4±0.1,1.33, 2013 Dec. 26,04:03±00:06
36,2013 Dec. 28,18:33:00,125,330,2.0±0.1,1.19,18:28±00:08,DE,,IC,-26,IC ,,1.13,,,BG,,, ,,,
37,2014 Jan. 06,08:09:00,89,1900,2.3±0.1,1.16,08:04±00:05,DE,2014 Jan. 06,09:31:00,-62,150,26.9±0.1,1.17,09:26±00:05,2014 Jan. 06,17:08:00,-118,21,18.8±0.3   ,1.38,2014 Jan. 06, 17:01±00:19
38,2014 Jan. 07,19:10:00,8,39000,15.4±0.1,1.15, 19:05±00:08 ,DE,2014 Jan. 07,17:48:00,-143,1800,23.2±0.1,1.14,17:43±00:05,2014 Jan. 07,21:03:00,161,320, 31.7±0.2,1.46,2014 Jan. 07,20:55±00:11
39,2014 Feb. 25,02:38:00,-82,2100,59.3±0.1,1.12, 02:34±00:06 ,LF,2014 Feb. 25,01:11:00,125,3900,2.8±0.1,1.14,01:06±00:05,2014 Feb. 25,01:17:00,78,9100,12.7±0.1  ,1.36,2014 Feb. 25   ,01:10±00:05
40,2014 Mar. 04,,,,,,,,2014 Mar. 04,18:50:00,-65,600,2.4±0.1,1.13,18:46±00:05,2014 Mar. 04,20:40:00,-111,130,16.5±0.2 ,1.38,2014 Mar. 04,20:33±00:11
41,2014 Mar. 05,,,,,,,,2014 Mar. 05,15:02:00,28,560,12.0±0.9,1.16,14:57±00:56,,BG,   , ,,,,
42,2014 Sep. 01,18:07:00,-128,140,40.5±0.6,1.17,18:02±00:34,LF,,, ,,,,,2014 Sep. 01,11:32:00,33,180000,4.1±0.1,1.18,2014 Sep. 01,11:27±00:05
43,2014 Sep. 10,21:30:00,-2,2100,8.0±0.1,1.2,21:25±00:05,LF,,, ,,,,,2014 Sep. 10,19:04:00,159,220,13.8±0.2,1.29,2014 Sep. 10,18:58±00:15
44, 2014 Sep. 25,00:07:00,-175,24,10.8±0.2 ,1.14,00:02±00:11,LF,,, ,,,,, 2014 Sep. 24,21:49:00,-14,2100,8.9±0.1,1.23, 2014 Sep. 24,21:43±00:08
45, 2014 Dec. 13,15:19:00,141,76,19.8±0.1,1.07,15:15±00:06,LF,,, ,,,,,,,, ,,,,
46,2015 Jul. 01,15:13:00, ,160,1.4±0.1,1.18,15:08±00:05,DE,,, ,,,,,,,, ,,,,
